No.,Code,Question,Answer,Note
12,HT012,Điều khiển hệ thống SmartHome BLE như thế nào?,"Có các phương thức điều khiển hệ thống smarthome:
 Điều khiển thiết bị qua app điện thoại: điều khiển thiết bị trong nhà từ xa qua điện thoại với kết nối internet, có thể cài đặt add thêm thiết bị, cài đặt thêm kịch bản, chỉnh sửa kịch bản, phân quyền điều khiển cho thành viên khác,...
 Điều khiển qua bảng cảnh, màn hình cảm ứng: dễ dàng sử dụng với kịch bản đã được cài đặt sẵn; phù hợp cho người già trẻ nhỏ.
 Điều khiển qua lịch đã hẹn sẵn: Thiết bị sẽ tự động chạy theo thời gian được cài sẵn.
 Điều khiển theo tác động môi trường: đèn hoặc công tắc trong nhà sẽ được kích hoạt theo thay đổi môi trường với kịch bản được cài đặt sẵn: vd đèn sẽ tự động sáng khi có chuyển động sau 22h, khi nồng độ bụi mịn lên cao ( thông qua cảm biến bụi mịn) sẽ tự động kích hoạt thiết bị máy lọc không khí,...
 Điều khiển qua giọng nói: Hệ thống có thể điều khiển thông qua ra lệnh bằng giọng nói, hệ thống kết hợp với loa thông minh như google, maika để người dùng có thể ra lệnh điều khiển thiết bị trong nhà.
 Điều khiển thông qua camera AI: Nhận diện gương mặt, cử chỉ",
13,HT013,"Hiện tại thấy rạng đông đang có Hai app ứng dụng, vậy mục đích và tính năng sử dụng của chúng như nào?","Hiện tại Rạng Đông đang cung cấp hai dòng sản phẩm trên thị trường
Dòng sản phẩm WIFI là dòng sản phẩm Smart đơn lẻ phù hợp với những công trình vừa và nhỏ, nhu cầu của khách hàng chỉ dừng lại ở mức nhu cầu với các thiết bị công tắc ổ cắm,, Có thể hoạt động động lập không cần bộ đk trung tâm... hoạt động trên app Rạng Đông Smart
Dòng sản phẩm BLE là dong sản phẩm Smart hệ thống sử dụng công nghệ Bluetooth Mesh, phù hợp với các công trình mà nhu cầu của khách hàng đa dạng các giải pháp, chiếu sáng, tiện ích, điều khiển từ xa, an ninh, an toàn,... Hoạt động cần có bộ Đk trung tâm giúp quản lý tất cả thiết bị trong nhà => Hoạt động trên app RalliSmart V2",
14,HT014,"Hiện trên App Store, CH Play có cả App Ralli Smart. App này có khác gì App Ralli Smart V2 không nhỉ","Hiện tại Rạng Đông đang phát triển phiên bản App mới được cải tiến về giao diện điều khiển trực quan hơn và tích hợp thêm 1 số tính năng mới : Camera, Khoá.... 
Phiên bản hiện đang trong qúa trình hoàn thiện. 
Nếu quý khách muốn trải nghiệm hoàn toàn có thể tải về và đăng nhập bằng tài khoản App Ralli Smart V2 hiện có để thử 
Còn khi phiên bản App mới này hoàn tất chúng tôi sẽ thông báo tới Quý khách hàng để anh chị có thể tải về thay thế cho App RalliSmart V2 hiện tại",
15,HT015,Nâng cấp hệ thống từ v1 nên v2 như thế nào?,Rạng Đông luôn cố gắng phục vụ khách tốt nhất. Nên khi nâng cấp hệ thống từ V1 sang V2 đội ngũ Rạng Đông đễ đến tận nơi để nâng cấp cũng như cài đặt lại hệ thống của a/c.,
16,HT016,Tôi có phải trả phí để nâng cấp hệ thống đang dùng lên v2 không?,"Hệ thống được nâng cấp hoàn toàn miễn phí, và công ty sẽ có đội kĩ thuật đến hỗ trợ để nâng cấp cho hệ thống lên v2.",
17,HT017,"Tôi đang sử dụng hệ thống BLE V1 giờ muốn nâng cấp nên thì phải làm gì, có phải cài lại hệ thống thiết bị không?",Nếu anh chị đang sử dụng hệ thống V1 thì bên em sẽ tiến hành đễ hỗ trợ nâng cấp thiết bị và cài đặt ạ. Xin thông tin liên hệ. Báo đội hỗ trợ tùy theo khu vực đến nâng cấp hệ thống nhà mình.,
18,HT018,Tôi đang dùng hệ thống V1 và không cần lên V2? Vậy có ảnh hưởng gì đến hệ thống sau này không?,"Khi hệ thống V2 ổn định sẽ đóng server của V1. Nên nếu a/c không nâng cấp sẽ dẫn không điều khiển được từ xa, giọng nói,...",
19,HT019,Nếu nâng cấp hệ thống từ V1 sang V2 có phải tháo toàn bộ đèn xuống để nạp hay gỡ công tắc ra để nạp không?,"Các thiết bị như đèn hay công tắc không cần phải tháo ra. Các thiết bị có thể nâng cấp qua app chuyên dụng trên điện thoại. Còn thiết bị HC, bảng cảnh cầm tay sẽ được Rạng Đông mang về để nạp lại rồi đưa lại cho khách hàng.",
20,HT020,Có thể nâng cấp hệ thống từ V1 lên V2 từ xa được không?,"Không thể, vì khi nâng cấp hệ thống thì sẽ tiến hành cập nhật lại firm cho thiết bị đèn, công tắc,… Và công cụ cập nhật này qua điện thoại với sóng bluetooth. Sau khi cập nhật firm sẽ tiến hành cài đặt lại hệ thống. Nhưng a/c cũng không cần lo lắng mất thời gian vì Rạng Đông sẽ có đội ngũ đến để hỗ trợ xử lý.",
21,HT021,Khi nâng cấp hệ thống từ V1 sang V2 những thiết bị cũ đang dùng phải thay mới không?,"Hệ thống nâng cấp từ V1 sang V2 khách hàng không phải bỏ đi bất cứ thiết bị gì đang sử dụng. Hệ thống tối ưu và nâng cấp cách thức hoạt động từ firm phần mềm điều khiển của thiết bị, app điều khiển, việc truyền nhận dữ liệu giữa các thiết bị nên không ảnh hưởng gì đến phần cứng các thiết bị đang sử dụng. Chỉ cần tiến hành nạp lại để nâng cấp.",
22,HT022,"Đèn RGB (led dây RGB, bulb, ốp trần RBG..) khi bật 1 trong 5 chế độ màu sắc có sẵn trên ứng dụng nhưng thấy thiếu 1 màu?","Trường hợp của a/c có thể do phần tải led khiến đèn bị hở chân dẫn điều khiển mất màu “x”, A/c vui lòng chuyển thiết bị về bên công ty em để công ty em bảo hành cho a/c.",Trường hợp này người sử dụng nên chuyển giao lại thiết bị cho bên kỹ thuật bảo hành để tìm nguyên nhân sửa chữa hoặc đổi trả nếu còn bảo hành.
23,HT023,Đấu tải thêm led dây CCT vào bộ nguồn như nào?,Trên tải led có 2 dây màu xanh và đỏ tương ứng ứng đỏ nối cực dương (V) và xanh nối cực âm (V-) của bộ nguồn,
24,HT024,Cắm tải led vào bộ cấp nguồn trên LED dây RGB như nào?,Cắm tải led vào bộ nguồn theo chiều đc đánh dấu dương “” trên bề mặt của thiết bị,
25,HT025,Với bộ nguồn led dây CCT thì đấu được bao nhiêu tải đèn ?,1 bộ nguồn LED dây cho phép đấu tối ta với 3 tải led dây CCT.,
26,HT026,"Kí hiệu A, F của con đèn AT19, AT18, AT22 ý nghĩa là gì?","Kí hiệu A là Angel tức là đèn có thể xoay góc, kí hiệu F là fix dạng đèn cố định. Với mỗi đèn có góc chiếu khác nhau sẽ ứng dụng với từng khu vực.",
27,HT027,Làm thế nào để hệ thống đèn trở về ánh sáng trắng?,A/c bật tắt 2 lần thì đèn sẽ sáng mặc định là sáng trắng và cường độ sáng 100%,
28,HT028,Đèn nhà tôi khi chuyển sang màu ấm thì bị tắt chỉ được mỗi sáng trắng?,"A/c đang bị với loại đèn nào vậy ạ? (Thường chỉ bị với panel khổ to)
A/c hay kiểm tra dây nối từ bộ nguồn điều khiển đến tải led bị lỏng dây chân điều khiển màu vàng ,.. A/c nối và điều khiển thử lại.
Nếu không dược a/c có thể vui lòng chuyển về Công ty Rạng Đông để bên em bảo hành cho a/c.",Chuyển thiết bị cho bộ phận kỹ thuật kiểm tra sửa chữa hoặc đổi trả nếu còn bảo hành.
29,HT029,Đèn bị tắt trên App/Bảng cảnh thì bật lại bằng cách nào ?,"Anh/Chị vui lòng:
Bật sáng => Tắt 10s => Bật 10s => Tắt đi=> Bật lại luôn là đèn sáng ạ",
30,HT030,"TH lỗi Cài đặt công tắc cảm ứng. 
Ví dụ: Công tắc cảm ứng Chữ nhật CTCU.BLE CN.03T ( đen) lỗi liệt nút số","a) Phương án 1: Kiểm tra mặt kính cảm ứng và nút (do sử dụng công nghệ cảm ứng điện dung) khi có khoảng cách. Phần cảm ứng sẽ không nhạy.
Lưu ý: Kiểm tra độ kênh của bề mặt tường 
 Khi nới lỏng 2 vít 2 bên đế của công tắc 
b) Phương án 2: Khi tháo mặt kính thao tác trên các nút từ vẫn bị liệt 
=> Ngắt nguồn công tắc rồi bật lại. Để reset lại chức năng cảm ứng.",
31,HT031,Công tắc thông minh: Sản phẩm đấu nối có đơn giản không?,"Sản phẩm Smart Rạng Đông sử dụng kết nối không dây nên việc đấu nối dễ dàng, gần như không khác so với SP thường. Ngoài ra bên em còn có đầy đủ hướng dẫn đấu nối (hình ảnh, video) và đội ngũ kĩ thuật giúp mình khi lắp đặt sử dụng",
32,HT032,"Khi thi công chạy ngầm trên tầng, chạy âm tường có phải chú ý gì không?","Khi thi công thì lưu ý đi cả 2 dây nóng lạnh về đế âm, Ngoài ra nếu như xây mới thì chôn đế âm sâu thêm 1-2cm thì trong quá trình lắp đặt sẽ thuật tiện và dễ dàng hơn vì dây tải to sẽ không lo bị cấn.",
33,HT033,Công tắc thông minh: Nếu mất điện thì khi có điện lại có ảnh hưởng không?,Khi có điện trở lại thiết bị thông minh sẽ tự nhớ trạng thái trước lúc mất. Ngoài ra bạn cần đợi 3-5 phút để HC (bộ điều khiển trung tâm) hoạt động rồi có thể sử dụng những kịch bản thông minh bình thường.,
34,HT034,Công tắc nóng lạnh của RĐ có chống giật hay ?,Hiện tại RD đang nghiên cứu thêm về phần chống giật cho công tắc BNL nhưng trên thị trường hầu như tất cả các BNL đều có dây nối đất chống giật r ạ,
35,HT035,Công tắc 2-3-4 nút có công suất cao hay không ?,Vì bình thường sử dụng CSC như điều hòa và BNL mới cần mà dùng 1 loại riêng chúng em cũng có thể sản xuất được nhưng do phải chia nhiều mà SP và cũng ít người dùng CSC cho loại 2-3-4 nút tại vì hầu hết những loại này chỉ để điều khiển đèn và có công suất là 300W cũng đã là khá cao rồi,
36,HT036,Công tắc 1 nút BLE và Wifi khi dùng rất nóng trên mặt kính ?,"Vì CSC thì dòng khởi động cũng cao hơn, relay cũng sẽ hoạt động cới công suất cao hơn nên công tắc 1 nút sẽ nóng hơn các công tắc khác",
37,HT037,"Đối với hệ thống thông minh có lưu ý gì khi lắp đặt cảnh báo về thiết bị như bình nóng lạnh, điều hòa không?",Rạng Đông đã có sản phẩm công tắc cho những thiết bị có công suất lớn đó là công tắc bình nóng lạnh. Và lưu ý rằng công suất chịu tải trên công tắc là 2500W. Nên A/c lưu ý xem xét trước thiết bị nhà đang có vượt công suất trên không.,
38,HT038,Bật thiết bị bằng công tắc thường không sáng?,"Vì hệ thống đèn trước đó đã được a/c điều khiển tắt (có thể bằng remote hoặc app) nên vẫn nhớ trạng thái tắt. Để có bật bằng công tắc cơ:
A/c hãy bật tắt 2 lần công tắc với thời gian giữa mỗi lần bật như sau:
 Đối với đèn Downlight, bulb, tracklight: mỗi lần bật tắt cách nhau 2s
 Đối với đèn Panel, LED dây RGB: mỗi lần bật tắt cách nhau 5s",
39,HT039,"Nhà tôi có cầu thang, giờ khi chuyển sang smart home có thiết bị nào phù hợp để thay thế không?","A/c sử dụng công tắc cảm ứng thông minh, gồm 2 công tắc và 1 đèn đấu nguồn vào 1 trong 2 công tắc. Còn để điều khiển được như công tắc 3 cực cầu thang thì chỉ cần cài đặt kịch bản 2 công tắc sẽ đồng bộ trạng thái bật tắt, công tắc 1 bật thì công tắc 2 cũng bật và ngược lại, tương tự vậy cho công tắc 2 điều khiển công tắc 1.",
40,HT040,"Rạng Đông cung cấp hai Dòng sản phẩm công tắc, thì hai loại này có gì khác nhau?","Hiện tại Rạng Đông đang cung cấp hai dòng sản phẩm trên thị trường
Dòng sản phẩm WIFI là dòng sản phẩm Smart đơn lẻ phù hợp với những công trình vừa và nhỏ, nhu cầu của khách hàng chỉ dừng lại ở mức nhu cầu với các thiết bị công tắc ổ cắm,,...Có thể hoạt động động lập không cần bộ đk trung tâm
Dòng sản phẩm BLE là dong sản phẩm Smart hệ thống sử dụng công nghệ Bluetooth Mesh, phù hợp với các công trình mà nhu cầu của khách hàng đa dạng các giải pháp, chiếu sáng, tiện ích, điều khiển từ xa, an ninh, an toàn,...Hoạt động cần có bộ Đk trung tâm giúp quản lý tất cả thiết bị trong nhà",
41,HT041,Con thạch sùng đậu vào công tắc cửa cuốn thì cửa có mở không?,công tắc cửa cuốn của RD có bảo mật 2 lớp có khóa trẻ em trong 1 khoảng tgian ( khoảng 5s) công tắc sẽ không cho nhấn nút hoạt động (vẫn có thể sử dụng trên app) và nếu muốn sử dụng cần nhấn giữ 2 nút để công tắc hoạt động lại bình thường nên anh/chị yên tâm sẽ không có chuyện tự mở công tăc,
42,HT042,"Công tắc thông minh này có lắp vừa các loại đế trên thị trường không, do thấy đế của công tắc hơi lớn","Các sản phẩm công tắc, ổ cắm của Rạng Đông sản xuất đều được thiết kế theo chuẩn đế trê thị trường, nên có thể lắp vừa với tất cả loại đế chuẩn.",
43,HT043,Công tắc cầu thang nhưng không điều khiển đồng bộ được khi điều khiển trên app?,Tính năng này được thiết kế như vậy ạ. Vì kịch bản cầu thang chỉ sử dụng khi bấm trên mặt công tắc thì mới cần đồng bộ đảo chiều giữa 2 công tắc.,
44,HT044,Nhà tôi đang dùng thiết bị điều khiểm rèm tự động vậy khi sử dụng nhà thông minh có thể đồng bộ được không hay phải thay thế?,"Hoàn toàn có thể tích hợp được .
Ta kiểm tra dây điềukhiển của đông cơ rèm : tùy thuộc vào từng loại động có ta có dây điều khiển khác nhau và đấu nối kéo dây điều khiển vào công tắc rèm thông minh BLE 
 Đông cơ điều khiển 4 dây DC 
 Động cơ điều khiển 3 dây DC 
 Đông cơ điều khiển 3 dây AC",
45,HT045,Mẹo cài đặt nâng cao khi bật công tắc,"Cài đặt bổ sung: Khắc phục trường hợp bật công tắc mà đèn không sáng khi vô tình tắt đèn trên bảng cảnh hoặc điện thạoi (Cài đặt cơ bản, khi “tắt đèn qua bảng cảnh” hoặc “cảnh Tắt”, thì công tắc khi tắt đi bật lại đèn sẽ không sáng dẫn đến bất tiện cho những khách hàng mới tiếp cận sử dụng.)
 Các bước thực hiện: Cài đặt thêm chế độ ""Tự động"" cho các công tắc. VD: Phòng khách có 10 đèn Downlight chung lộ điện về nút số 1 của công tắc Pk, đèn led dây đi lộ điện về nút số 2 của công tắc PK. Phòng khách đã cài cảnh và có 6 cảnh mặc định. 
• B1: Tại giao diện chính, chọn vào mục”Automation”, sau đó chọn vào mục ”Tự động”
• B2: Tiếp theo chọn vào biểu tượng dấu “” bên góc phải
• B3: Tại đây tiến hành chọn “thiết bị đầu vào” là “công tắc 2 nút phòng khách”
• B4: Tiếp theo chọn vào công tắc và thiết lập chế độ cả hai nút “Bật”
• B5: Tiếp theo tại mục”Cảnh đầu ra” và chọn ngữ cảnh mong muốn kích hoạt (ví dụ là cảnh mùa hè – ánh sáng trắng). Cuối cùng chọn Lưu để hoàn tất
=> Như vậy sau khi cài đặt, dù khách hang có sử dụng chế độ tắt trên bảng cảnh hoặc Cảnh tắt thì khi bật lại bằng công tắc, đèn sẽ vẫn sáng lại ở chế độ “Mùa hè”",
46,HT046,"Cài đặt bổ sung khắc phục trường hợp bật công tắc mà đèn không sáng khi vô tình tắt đèn trên bảng cảnh (Cài đặt cơ bản, khi tắt đèn qua bảng cảnh hoặc cảnh Tắt, thì công tắc khi tắt đi bật lại đèn không sáng dẫn đến bất tiện cho những khách hàng mới tiếp cận sử dụng.)","Cài đặt thêm chế độ ""Tự động"" cho các công tắc.
VD: Phòng khách có 10 đèn Downlight chung lộ điện về nút số 1 của công tắc Pk
và 2 đèn led dây chung lộ điện về nút số 2 của công tắc PK. Phòng khách đã cài cảnh và có 6 cảnh mặc định.
=> Trick:
B1: Cài đặt thêm chế độ ""tự động"". Thiết bị đầu vào : Nút số 1, nút số 2 ở ct Pk để chế độ ""bật""
B2: Cảnh đầu ra: Mùa hèphòng khách.sau đó lưu lại
Như vậy bây giờ khi đèn bị tắt trên bảng cảnh hoặc cảnh ""Tắt phòng"" được hoạt. Thì khi tắt công tắc đi bật lại đèn sẽ sáng lên ở chế độ cảnh""Mùa hè""",
47,HT047,Bảng cảnh là gì,"Bảng cảnh có tác dụng điều khiển nhanh các kịch bản (ngữ cảnh), thiết bị từ xa mà không cần phải sử dụng App trên Smartphone",
48,HT048,Hiện tại Rạng Đông có mấy loại bảng cảnh,"Hiện nay Rạng Đông cung cấp 3 loại bảng cảnh 
 Bảng cảnh âm tường 6 nút 
 Bảng cảnh cầm tay sử dụng pin: M3V2 
 Bảng cảnh không dây không pin",
49,HT049,Khoảng cách điều khiển tối đa của bộ điều khiển cảnh là bao nhiêu?,Tuỳ vào không gian sử dụng có vật cản hay không mà khoảng cách điều khiển có thể lên tới 50m. Bảng cảnh thường được sử dụng trong 1 phòng nên anh chị hoàn toàn yên tâm độ ổn đỉnh kết nối khi sử dụng.,
50,HT050,Tôi không thể điều khiển thiết bị qua remote?,"Khi a/c ấn nút trên bảng cảnh led trên bảng cảnh có nháy sáng không ạ. 
 Nếu led báo trên bảng cảnh không nháy sáng thì nguyên nhân do pin đã hết. A/c mua pin bảng (pin cúc áo CR2450/3V-620mAh) ở các trang thương mại điện tử như shopee, lazada, tiki dễ dàng. 
 Nếu led trên bảng cảnh nháy (màu đỏ) do mất kết nối nguyên nhân có thể bảng cảnh bị ấn đúng thao tác reset. HD khách hàng thao tác add lại bảng cảnh và gán cảnh vào nút bảng cảnh.",Hiện cài cảnh khi lưu trên app thì đồng thời ấn nút trên bảng cảnh. Sẽ điều khiển trực tiếp từ bảng cảnh đến đèn không cần qua HC.
51,HT051,Cài đặt bảng cảnh M3 ver 2 ( Hướng dẫn sử dụng trên HDSD chưa chuẩn ),"a) Trạng thái thiết bị : đã gán vào HC trên thiết bị bằng cách nhấn 1 nút bất kỳ. Nếu 1 LED nháy đã vào HC , nháy 6 đèn LED ở trạng thái ngoài mạng 
b) Reset & quét thiết bị M3V2 trực tiếp thiết bị 
• B1: Nhấn nhanh 5 lần nút config ( nút off ) – Kc giữa 2 lần ấn ( 0.5s) 
• B2: Nhấn giữ nút config 3 s. Đèn LED sẽ nháy cả 6 LED 2 nhịp => reset thành công
• B3: Ấn giữ nút config ,đèn nút config nháy duy trì 2 phút => Quét thiết bị 
c) Gắn cảnh cho bảng cảnh M3 ( hoặc 1 số các thiết bị dùng pin ) 
Lưu ý trong quá trình lưu trạng thái để tránh miss / trượt không lưu thành công. 
Nhấn giữ nút config 3s đèn sáng -> Chờ khi trên giao diện app hiển thị chữ “ DKTX M2 V2 00X trong đó X là số nút mình cài “. Lưu luôn => Sau khi lưu ứng dụng thành công thiết bị báo sáng 6 đèn.",
52,HT052,"Cài đặt kịch bản cho cảm biến DC: Cảm biến chuyển động DC, cảm biến cửa,…","a) Phương án 1 : Cài đặt trực tiếp trên thiết bị và thiết lập cảnh cho thiết bị
• B1: Tại giao diện chính, chọn vào mục”Automation”
• B2: Tại đây chọn” Cảm biến và thiết bị hỗ trợ”
• B3: Tiếp theo chọn vào thiết bị cảm biến muốn cài đặt(VD: Cảm biến chuyển động 001)
• B4: Tại giao diện hiện ra chọn vào biểu tượng “cây bút” bên góc phải
• B5: Tại đây ta chọn phòng cho thiết bị, sau đó chọn vào mục”Thiết lập cảnh” để chọn cảnh khi cảm biến hoạt động
b) Phương án 2. Cài đặt các “Rule Tự Động” đưa cảm biến và thiết lập cảnh đầu ra, thiết bị đầu ra ( tiết kiệm Pin hơn so với cài đặt trực tiếp)
• B1: Tại giao diện chính, chọn vào mục”Automation”
• B2: Tại đây chọn vào mục ”Tự động”
• B3: Tiếp theo chọn vào biểu tượng dấu “” bên góc phải
• B4: Tại đây tiến hành chọn “thiết bị đầu vào” là cảm biến và chọn chế độ hoạt động ON/OFF
• B5: Tiếp theo tại mục”Cảnh đầu ra” và “Thiết bị đầu ra” chọn thiết bị và ngữ cảnh mong muốn kích hoạt
• B6: Cuối cùng chọn “Lưu” để hoàn tất",
53,HT053,Hệ thống thiết bị không ngắt điện trực tiếp mà chỉ tắt bằng bảng cảnh hay qua app như vậy có tốn điện không?,"Lượng điện năng tiêu tốn là rất nhỏ, không đáng kể. Ngoài ra hệ thống có thể kiểm soát thiết bị từ xa nên a/c hoàn toàn có thể tắt đèn hay thiết bị nếu quên hay có thể cài hẹn giờ tự tắt cho thiết bị bơm nước, điều hòa, .... Điều này đã giúp ích tối ưu chi phí về điện năng. Sắp tới, hệ thống hòa thiện tính năng tính toán lượng điện tiêu thụ, từ đó giúp a/c quản lý được lượng điệ thiết bị tiêu thụ, hay biết thiết bị đang có vấn đề khi lượng điện tiêu thụ của thiết bị đó tăng bất thường để kịp thời xử lý.",
54,HT054,Cài HC như thế nào?,"Cài với mạng LAN: Đảm bảo a/c đã cấp nguồn mạng mạng cho HC. Vào ứng dụng RalliSmart V2 vào mực thông tin HC (nếu khi mới tạo nhà thì ứng dụng sẽ hiện thị ra luôn màn hình thêm HC). Kết nối điện thoại của bạn đến wifi do HC phát ra. Ấn ""Tìm kiếm"" > Chọn wifi HC trên app. App báo ""Thêm mới HC thành công"" là a/c đã hoàn thành việc cài đặt.
Cài với mạng wifi: Vào ứng dụng RalliSmart V2 vào mực thông tin HC (nếu khi mới tạo nhà thì ứng dụng sẽ hiện thị ra luôn màn hình thêm HC). Kết nối điện thoại của bạn đến wifi do HC phát ra. Ấn ""Tìm kiếm"" > Chọn wifi HC > Ấn ""Tiếp tục"" > Trong danh sách wifi hiển thị> Chọn wifi bạn muốn cài đặt cho HC. App báo ""Thêm mới HC thành công"" là a/c đã hoàn thành việc cài đặt.",Mạng do HC phát ra có dạng RD_HC_XXXX với XXXX là 4 ký tự cuối của mã MAC trên HC). Mật khẩu Hc phát ra: ABC123456
55,HT055,Tôi đang cài mạng LAN cho HC và muốn chuyển sang mạng Wifi thì thao tác như thế nào? Và ngược lại?,"Khi HC đang dùng mạng LAN và muốn chuyển sang wifi: A/c ấn giữ nút config bên cạnh HC 7s bỏ tay ra đèn internet và service nháy 3 lần. CÀi đặt lại mạng và kết nối đến mạng wifi mới.
Khi HC đang dùng mạng wifi và muốn chuyển sang LAN: A/c ấn giữ nút config bên cạnh HC 7s bỏ tay ra đèn internet và service nháy 3 lần. Sau đó chờ thêm khoảng 2p rồi cắm LAN sử dụng bình thường.",
56,HT056,HC có thể điều khiển tối đa bao nhiêu thiết bị?,HC có thể điều khiển lên tới 200 thiết bị (nhưng để tối ưu nhất thì nên điều khiển 200 thiết bị,
57,HT057,Tôi không điều khiển được đèn trên app?,"A/c hãy kiểm tra lại nguồn điện cấp cho thiết bị đèn và HC
A/c kiểm tra lại trạng thái HC. Nếu HC mất internet thfi a/c có hãy cài lại mạng hoặc chuyển app sang trạng thái local (kết nối đến wifi HC phát ra và chuyển chế độ kết nối sang auto). 
 Trường hợp HC của khách hàng không sáng led hoặc đã xử lý theo cách trên không được xin thông tin chuyển bộ phận kỹ thuật.",
